method,workers,time,speedup
Serial,1,4.055929499911144,1.0
Parallel (2w),2,1.1542128000874072,3.514022283935851
Parallel (4w),4,2.1321621001698077,1.90226132412171
Parallel (8w),8,4.6714939000085,0.8682296470308491
